arm,uid,question_key,group,seed,event_index,source_id,source,cached_accepted_len,valid_k,fresh_greedy_al,fresh_first_token_nll,fresh_first_token_rank,completion_offset
chain,82_t1,mt_bench:82,mt_bench,42,73,1,P1,9,8,4,0.031277500092983246,1,280
chain,82_t1,mt_bench:82,mt_bench,42,74,1,P1,3,8,3,0.10542310774326324,1,289
chain,82_t1,mt_bench:82,mt_bench,42,75,1,P1,3,8,3,0.08862017095088959,1,292
chain,82_t1,mt_bench:82,mt_bench,42,76,1,P1,3,8,2,0.07646292448043823,1,295
chain,82_t1,mt_bench:82,mt_bench,42,77,1,P1,5,8,5,0.0003629264247138053,1,298
chain,82_t1,mt_bench:82,mt_bench,42,78,0,Miss (fresh JIT),1,8,8,1.6623785495758057,1,303
chain,82_t1,mt_bench:82,mt_bench,42,79,1,P1,6,8,7,0.004782072268426418,1,304
chain,82_t1,mt_bench:82,mt_bench,42,80,1,P1,1,8,1,2.229435920715332,2,310
chain,82_t1,mt_bench:82,mt_bench,42,81,1,P1,3,8,1,1.248096227645874,2,311
chain,82_t1,mt_bench:82,mt_bench,42,82,1,P1,7,8,5,0.0068888068199157715,1,314
chain,82_t1,mt_bench:82,mt_bench,42,83,0,Miss (fresh JIT),4,8,2,0.7864905595779419,1,321
chain,82_t1,mt_bench:82,mt_bench,42,84,1,P1,5,8,2,0.03425556793808937,1,325
chain,82_t1,mt_bench:82,mt_bench,42,85,1,P1,9,8,6,0.16731354594230652,1,330
chain,82_t1,mt_bench:82,mt_bench,42,86,0,Miss (fresh JIT),9,8,2,0.039685942232608795,1,339
chain,82_t1,mt_bench:82,mt_bench,42,87,1,P1,7,8,9,0.4505433142185211,1,348
chain,82_t1,mt_bench:82,mt_bench,42,88,1,P1,3,8,2,0.48465898633003235,1,355
chain,82_t1,mt_bench:82,mt_bench,42,89,1,P1,2,8,2,0.03926560655236244,1,358
chain,82_t1,mt_bench:82,mt_bench,42,90,1,P1,9,8,1,2.029318332672119,2,360
chain,82_t1,mt_bench:82,mt_bench,42,91,1,P1,1,8,1,2.828535318374634,2,369
chain,82_t1,mt_bench:82,mt_bench,42,92,1,P1,5,8,9,0.00012194366718176752,1,370
chain,82_t1,mt_bench:82,mt_bench,42,93,1,P1,9,8,9,0.03404588997364044,1,375
chain,82_t1,mt_bench:82,mt_bench,42,94,1,P1,2,8,3,6.556489552167477e-06,1,384
chain,82_t1,mt_bench:82,mt_bench,42,95,1,P1,1,8,1,2.7210893630981445,4,386
chain,82_t1,mt_bench:82,mt_bench,42,96,1,P1,3,8,1,1.3034653663635254,2,387
chain,82_t1,mt_bench:82,mt_bench,42,97,1,P1,9,8,4,0.14750637114048004,1,390
chain,82_t1,mt_bench:82,mt_bench,42,98,1,P1,5,8,5,1.3947389561508317e-05,1,399
chain,82_t1,mt_bench:82,mt_bench,42,99,1,P1,9,8,9,0.06381668895483017,1,404
chain,82_t1,mt_bench:82,mt_bench,42,100,1,P1,2,8,2,0.04264574125409126,1,413
chain,82_t1,mt_bench:82,mt_bench,42,101,1,P1,9,8,9,0.0016677769599482417,1,415
chain,82_t1,mt_bench:82,mt_bench,42,102,1,P1,4,8,9,0.4128842055797577,1,424
chain,82_t1,mt_bench:82,mt_bench,42,103,1,P1,9,8,9,0.030132319778203964,1,428
chain,82_t1,mt_bench:82,mt_bench,42,104,1,P1,9,8,9,0.18504291772842407,1,437
chain,82_t1,mt_bench:82,mt_bench,42,105,1,P1,9,8,3,0.09515684098005295,1,446
chain,82_t1,mt_bench:82,mt_bench,42,106,1,P1,1,8,1,2.7497990131378174,3,455
chain,82_t1,mt_bench:82,mt_bench,42,107,1,P1,1,8,9,0.9046568870544434,1,456
chain,82_t1,mt_bench:82,mt_bench,42,108,1,P1,9,8,9,0.040782589465379715,1,457
chain,82_t1,mt_bench:82,mt_bench,42,109,1,P1,1,8,1,3.9330241680145264,2,466
chain,82_t1,mt_bench:82,mt_bench,42,110,1,P1,9,8,9,0.026286860927939415,1,467
chain,82_t1,mt_bench:82,mt_bench,42,111,1,P1,8,8,8,0.017172222957015038,1,476
chain,82_t1,mt_bench:82,mt_bench,42,112,2,P2,1,8,1,3.183939218521118,2,484
chain,82_t1,mt_bench:82,mt_bench,42,113,1,P1,9,8,3,0.008741682395339012,1,485
chain,82_t1,mt_bench:82,mt_bench,42,114,1,P1,2,8,1,1.5073604583740234,2,494
chain,82_t1,mt_bench:82,mt_bench,42,115,1,P1,3,8,9,2.145764938177308e-06,1,496
chain,82_t1,mt_bench:82,mt_bench,42,116,1,P1,9,8,9,0.2856824994087219,1,499
chain,85_t0,mt_bench:85,mt_bench,42,0,0,Miss (fresh JIT),3,8,1,7.229022026062012,69,1
chain,85_t0,mt_bench:85,mt_bench,42,1,0,Miss (fresh JIT),1,8,1,4.229098796844482,8,4
chain,85_t0,mt_bench:85,mt_bench,42,2,2,P2,1,8,1,3.9786839485168457,3,5
chain,85_t0,mt_bench:85,mt_bench,42,3,1,P1,2,8,1,4.032186031341553,10,6
chain,85_t0,mt_bench:85,mt_bench,42,4,0,Miss (fresh JIT),6,8,6,0.4068043529987335,1,8
chain,85_t0,mt_bench:85,mt_bench,42,5,2,P2,3,8,3,0.1281793862581253,1,14
chain,85_t0,mt_bench:85,mt_bench,42,6,0,Miss (fresh JIT),3,8,4,0.006105225533246994,1,17
chain,85_t0,mt_bench:85,mt_bench,42,7,1,P1,1,8,1,4.904012680053711,15,20
chain,85_t0,mt_bench:85,mt_bench,42,8,0,Miss (fresh JIT),3,8,4,0.003467026399448514,1,21
chain,85_t0,mt_bench:85,mt_bench,42,9,1,P1,1,8,1,2.043736696243286,3,24
chain,85_t0,mt_bench:85,mt_bench,42,10,1,P1,3,8,3,0.0023988301400095224,1,25
chain,85_t0,mt_bench:85,mt_bench,42,11,2,P2,2,8,2,0.2607429623603821,1,28
chain,85_t0,mt_bench:85,mt_bench,42,12,0,Miss (fresh JIT),3,8,3,0.06866723299026489,1,30
chain,85_t0,mt_bench:85,mt_bench,42,13,1,P1,3,8,3,0.10231032222509384,1,33
chain,85_t0,mt_bench:85,mt_bench,42,14,2,P2,3,8,3,0.7565781474113464,1,36
chain,85_t0,mt_bench:85,mt_bench,42,15,1,P1,3,8,2,0.5589831471443176,1,39
chain,85_t0,mt_bench:85,mt_bench,42,16,0,Miss (fresh JIT),5,8,2,0.770961582660675,1,42
chain,85_t0,mt_bench:85,mt_bench,42,17,1,P1,4,8,1,4.273752689361572,11,47
chain,85_t0,mt_bench:85,mt_bench,42,18,1,P1,9,8,2,1.1741119623184204,1,51
chain,85_t0,mt_bench:85,mt_bench,42,19,1,P1,1,8,1,2.4042301177978516,4,60
chain,85_t0,mt_bench:85,mt_bench,42,20,1,P1,1,8,1,4.352835178375244,16,61
chain,85_t0,mt_bench:85,mt_bench,42,21,0,Miss (fresh JIT),2,8,2,0.725845456123352,1,62
chain,85_t0,mt_bench:85,mt_bench,42,22,0,Miss (fresh JIT),6,8,1,5.565332889556885,36,64
chain,85_t0,mt_bench:85,mt_bench,42,23,2,P2,4,8,1,1.5667757987976074,2,70
chain,85_t0,mt_bench:85,mt_bench,42,24,2,P2,1,8,1,5.416205406188965,38,74
chain,85_t0,mt_bench:85,mt_bench,42,25,0,Miss (fresh JIT),3,8,2,0.12439404428005219,1,75
chain,85_t0,mt_bench:85,mt_bench,42,26,2,P2,6,8,3,0.14699585735797882,1,78
chain,85_t0,mt_bench:85,mt_bench,42,27,1,P1,1,8,1,2.1454391479492188,3,84
chain,85_t0,mt_bench:85,mt_bench,42,28,1,P1,1,8,1,1.4083807468414307,3,85
chain,85_t0,mt_bench:85,mt_bench,42,29,1,P1,4,8,1,1.6644151210784912,2,86
chain,85_t0,mt_bench:85,mt_bench,42,30,2,P2,6,8,1,1.2364214658737183,2,90
chain,85_t0,mt_bench:85,mt_bench,42,31,1,P1,7,8,4,0.0013105622492730618,1,96
chain,85_t0,mt_bench:85,mt_bench,42,32,0,Miss (fresh JIT),9,8,1,1.9701663255691528,3,103
chain,85_t0,mt_bench:85,mt_bench,42,33,1,P1,9,8,4,0.5728390216827393,1,112
chain,85_t0,mt_bench:85,mt_bench,42,34,1,P1,7,8,7,0.8652467727661133,1,121
chain,85_t0,mt_bench:85,mt_bench,42,35,1,P1,1,8,1,4.209358215332031,7,128
chain,85_t0,mt_bench:85,mt_bench,42,36,2,P2,2,8,2,0.5187172889709473,1,129
chain,85_t0,mt_bench:85,mt_bench,42,37,1,P1,2,8,1,1.7430555820465088,2,131
chain,85_t0,mt_bench:85,mt_bench,42,38,2,P2,1,8,1,7.709850311279297,157,133
chain,85_t0,mt_bench:85,mt_bench,42,39,0,Miss (fresh JIT),9,8,3,0.08113879710435867,1,134
chain,85_t0,mt_bench:85,mt_bench,42,40,1,P1,6,8,5,0.0520615428686142,1,143
chain,85_t0,mt_bench:85,mt_bench,42,41,2,P2,4,8,1,1.5087193250656128,2,149
chain,85_t0,mt_bench:85,mt_bench,42,42,1,P1,5,8,5,0.5330348610877991,1,153
chain,85_t0,mt_bench:85,mt_bench,42,43,0,Miss (fresh JIT),3,8,3,0.009135235100984573,1,158
chain,85_t0,mt_bench:85,mt_bench,42,44,0,Miss (fresh JIT),9,8,9,0.027337975800037384,1,161
chain,85_t0,mt_bench:85,mt_bench,42,45,2,P2,2,8,1,2.0871798992156982,2,170
chain,85_t0,mt_bench:85,mt_bench,42,46,2,P2,3,8,1,1.771276831626892,2,172
chain,85_t0,mt_bench:85,mt_bench,42,47,1,P1,3,8,3,0.2800881564617157,1,175
chain,85_t0,mt_bench:85,mt_bench,42,48,1,P1,2,8,2,0.8256043791770935,1,178
chain,85_t0,mt_bench:85,mt_bench,42,49,1,P1,9,8,4,0.03150542825460434,1,180
chain,85_t0,mt_bench:85,mt_bench,42,50,1,P1,1,8,1,1.1860214471817017,2,189
chain,85_t0,mt_bench:85,mt_bench,42,51,1,P1,3,8,6,0.8379537463188171,1,190
chain,85_t0,mt_bench:85,mt_bench,42,52,1,P1,3,8,3,0.9551766514778137,1,193
chain,85_t0,mt_bench:85,mt_bench,42,53,2,P2,2,8,2,1.9314738512039185,1,196
chain,85_t0,mt_bench:85,mt_bench,42,54,1,P1,2,8,1,1.402329683303833,2,198
chain,85_t0,mt_bench:85,mt_bench,42,55,1,P1,5,8,1,6.275089740753174,69,200
chain,85_t0,mt_bench:85,mt_bench,42,56,0,Miss (fresh JIT),5,8,2,0.03336206451058388,1,205
chain,85_t0,mt_bench:85,mt_bench,42,57,1,P1,1,8,1,3.97973895072937,9,210
chain,85_t0,mt_bench:85,mt_bench,42,58,2,P2,4,8,2,0.44761618971824646,1,211
chain,85_t0,mt_bench:85,mt_bench,42,59,0,Miss (fresh JIT),9,8,5,0.0021482266020029783,1,215
chain,85_t0,mt_bench:85,mt_bench,42,60,1,P1,9,8,3,0.8326759338378906,1,224
chain,85_t0,mt_bench:85,mt_bench,42,61,1,P1,5,8,3,0.8291654586791992,1,233
chain,85_t0,mt_bench:85,mt_bench,42,62,0,Miss (fresh JIT),1,8,1,1.648309350013733,2,238
chain,85_t0,mt_bench:85,mt_bench,42,63,1,P1,2,8,3,0.5971294045448303,1,239
chain,85_t0,mt_bench:85,mt_bench,42,64,1,P1,1,8,1,7.4050374031066895,37,241
chain,85_t0,mt_bench:85,mt_bench,42,65,2,P2,1,8,1,1.7373528480529785,2,242
chain,85_t0,mt_bench:85,mt_bench,42,66,1,P1,3,8,3,0.9469848871231079,1,243
chain,85_t0,mt_bench:85,mt_bench,42,67,1,P1,6,8,6,0.014277567155659199,1,246
chain,85_t0,mt_bench:85,mt_bench,42,68,1,P1,2,8,1,3.2046003341674805,4,252
chain,85_t0,mt_bench:85,mt_bench,42,69,1,P1,1,8,1,4.903504848480225,11,254
chain,85_t0,mt_bench:85,mt_bench,42,70,2,P2,5,8,5,0.05567212030291557,1,255
chain,85_t0,mt_bench:85,mt_bench,42,71,1,P1,3,8,2,0.2748033404350281,1,260
chain,85_t0,mt_bench:85,mt_bench,42,72,2,P2,9,8,1,2.384800434112549,2,263
chain,85_t0,mt_bench:85,mt_bench,42,73,1,P1,2,8,1,5.017230033874512,27,272
chain,85_t0,mt_bench:85,mt_bench,42,74,0,Miss (fresh JIT),4,8,4,0.13648036122322083,1,274
chain,85_t0,mt_bench:85,mt_bench,42,75,0,Miss (fresh JIT),2,8,2,0.6300095915794373,1,278
chain,85_t0,mt_bench:85,mt_bench,42,76,1,P1,6,8,7,0.37125590443611145,1,280
chain,85_t0,mt_bench:85,mt_bench,42,77,1,P1,1,8,1,2.3028781414031982,3,286
chain,85_t0,mt_bench:85,mt_bench,42,78,1,P1,6,8,1,2.458483934402466,3,287
chain,85_t0,mt_bench:85,mt_bench,42,79,1,P1,1,8,2,1.6121104955673218,1,293
chain,85_t0,mt_bench:85,mt_bench,42,80,1,P1,1,8,1,2.045254707336426,4,294
chain,85_t0,mt_bench:85,mt_bench,42,81,1,P1,8,8,2,0.18831710517406464,1,295
chain,85_t0,mt_bench:85,mt_bench,42,82,1,P1,9,8,1,1.2349027395248413,2,303
chain,85_t0,mt_bench:85,mt_bench,42,83,1,P1,3,8,3,0.18984907865524292,1,312
chain,85_t0,mt_bench:85,mt_bench,42,84,1,P1,1,8,3,0.30197250843048096,1,315
chain,85_t0,mt_bench:85,mt_bench,42,85,1,P1,3,8,2,0.04819025844335556,1,316
chain,85_t0,mt_bench:85,mt_bench,42,86,1,P1,9,8,5,0.5241227149963379,1,319
chain,85_t0,mt_bench:85,mt_bench,42,87,1,P1,9,8,9,0.49367713928222656,1,328
chain,85_t0,mt_bench:85,mt_bench,42,88,1,P1,8,8,8,0.4214755892753601,1,337
chain,85_t0,mt_bench:85,mt_bench,42,89,2,P2,9,8,9,0.2509431838989258,1,345
chain,85_t0,mt_bench:85,mt_bench,42,90,1,P1,4,8,4,0.004827629309147596,1,354
chain,85_t0,mt_bench:85,mt_bench,42,91,1,P1,9,8,9,0.0040677194483578205,1,358
chain,85_t0,mt_bench:85,mt_bench,42,92,1,P1,9,8,9,0.018680360168218613,1,367
chain,85_t0,mt_bench:85,mt_bench,42,93,1,P1,9,8,9,0.001341872732155025,1,376
chain,85_t0,mt_bench:85,mt_bench,42,94,1,P1,9,8,9,0.008420203812420368,1,385
chain,85_t0,mt_bench:85,mt_bench,42,95,1,P1,9,8,9,0.021838895976543427,1,394
chain,85_t0,mt_bench:85,mt_bench,42,96,1,P1,9,8,9,0.0032120561227202415,1,403
chain,85_t0,mt_bench:85,mt_bench,42,97,1,P1,9,8,9,0.20455341041088104,1,412
chain,85_t0,mt_bench:85,mt_bench,42,98,1,P1,9,8,9,0.0010508735431358218,1,421
chain,85_t0,mt_bench:85,mt_bench,42,99,1,P1,9,8,9,0.00010847456724150106,1,430
chain,85_t0,mt_bench:85,mt_bench,42,100,1,P1,9,8,9,0.0013679441763088107,1,439
chain,85_t0,mt_bench:85,mt_bench,42,101,1,P1,9,8,9,0.0009709649602882564,1,448
chain,85_t0,mt_bench:85,mt_bench,42,102,1,P1,9,8,9,0.0005723983631469309,1,457
chain,85_t0,mt_bench:85,mt_bench,42,103,1,P1,9,8,9,0.0032680220901966095,1,466
chain,85_t0,mt_bench:85,mt_bench,42,104,1,P1,9,8,9,0.0002269487304147333,1,475
chain,85_t0,mt_bench:85,mt_bench,42,105,1,P1,9,8,9,0.001729065552353859,1,484
chain,85_t0,mt_bench:85,mt_bench,42,106,1,P1,9,8,9,0.006724584847688675,1,493
chain,85_t0,mt_bench:85,mt_bench,42,107,1,P1,9,8,9,0.002273952355608344,1,502
chain,85_t1,mt_bench:85,mt_bench,42,0,0,Miss (fresh JIT),1,8,1,5.451777458190918,25,1
chain,85_t1,mt_bench:85,mt_bench,42,1,0,Miss (fresh JIT),1,8,1,7.518835067749023,109,2
chain,85_t1,mt_bench:85,mt_bench,42,2,2,P2,1,8,1,4.303655624389648,10,3
chain,85_t1,mt_bench:85,mt_bench,42,3,2,P2,3,8,1,1.2252137660980225,2,4
chain,85_t1,mt_bench:85,mt_bench,42,4,2,P2,1,8,2,1.3273037672042847,1,7
chain,85_t1,mt_bench:85,mt_bench,42,5,1,P1,1,8,1,2.0840883255004883,3,8
chain,85_t1,mt_bench:85,mt_bench,42,6,1,P1,3,8,3,0.19294334948062897,1,9
chain,85_t1,mt_bench:85,mt_bench,42,7,0,Miss (fresh JIT),1,8,1,5.767642021179199,39,12
chain,85_t1,mt_bench:85,mt_bench,42,8,2,P2,3,8,3,0.11773937940597534,1,13
chain,85_t1,mt_bench:85,mt_bench,42,9,0,Miss (fresh JIT),2,8,1,5.270559310913086,12,16
chain,85_t1,mt_bench:85,mt_bench,42,10,1,P1,3,8,3,0.019240764901041985,1,18
chain,85_t1,mt_bench:85,mt_bench,42,11,2,P2,5,8,1,5.543589115142822,28,21
chain,85_t1,mt_bench:85,mt_bench,42,12,1,P1,3,8,1,3.6655495166778564,8,26
chain,85_t1,mt_bench:85,mt_bench,42,13,2,P2,7,8,1,1.5344828367233276,2,29
chain,85_t1,mt_bench:85,mt_bench,42,14,1,P1,2,8,1,1.969313383102417,3,36
chain,85_t1,mt_bench:85,mt_bench,42,15,1,P1,1,8,1,3.4679975509643555,7,38
chain,85_t1,mt_bench:85,mt_bench,42,16,0,Miss (fresh JIT),3,8,1,4.708164215087891,2,39
chain,85_t1,mt_bench:85,mt_bench,42,17,0,Miss (fresh JIT),1,8,1,6.463063716888428,34,42
chain,85_t1,mt_bench:85,mt_bench,42,18,0,Miss (fresh JIT),1,8,2,1.1308495998382568,1,43
chain,85_t1,mt_bench:85,mt_bench,42,19,1,P1,3,8,1,1.489033579826355,2,44
chain,85_t1,mt_bench:85,mt_bench,42,20,1,P1,1,8,1,5.154212951660156,17,47
chain,85_t1,mt_bench:85,mt_bench,42,21,0,Miss (fresh JIT),6,8,3,0.7312129139900208,1,48
chain,85_t1,mt_bench:85,mt_bench,42,22,1,P1,2,8,2,0.0005287918029353023,1,54
chain,85_t1,mt_bench:85,mt_bench,42,23,1,P1,3,8,1,2.475203275680542,3,56
chain,85_t1,mt_bench:85,mt_bench,42,24,0,Miss (fresh JIT),5,8,3,0.24703074991703033,1,59
chain,85_t1,mt_bench:85,mt_bench,42,25,2,P2,6,8,2,0.5830177664756775,1,64
chain,85_t1,mt_bench:85,mt_bench,42,26,2,P2,6,8,3,0.6912872791290283,1,70
chain,85_t1,mt_bench:85,mt_bench,42,27,0,Miss (fresh JIT),1,8,1,1.905727505683899,3,76
chain,85_t1,mt_bench:85,mt_bench,42,28,1,P1,1,8,7,0.7294928431510925,1,77
chain,85_t1,mt_bench:85,mt_bench,42,29,1,P1,1,8,6,1.124576210975647,1,78
chain,85_t1,mt_bench:85,mt_bench,42,30,1,P1,7,8,5,0.4348909258842468,1,79
